poem,distance
"Закович Б.Г._Дремлет-сад-вдали-трамвай-шумит_Х5ж,м",13.438912408471843
Берггольц О.Ф._Я-давно-живу-с-такой-надеждой:_Х5жм,13.439709563311204
Эренбург И.Г._Я-пишу-из-маленького-бара_Х5жм; Х6м,13.443602285525534
Андреев Д.Л._В-жгучий-год-когда-сбирает-родина_Х5дм,13.445263848603737
Асеев Н.Н._Я-хожу-от-страха-еле-жив_Х5мж,13.44673018604859
Кленовский Д.И._Легкокрылым-Гением-ведомы_Х5жм,13.449060402001827
Черный С. (Гликберг А.М.)_Заклубилась-темень-над-рекой._Х5м; Х6м,13.4505587547574
Меркурьева В.А._Узкие-лазейки-между-столиками_Х5гд,13.452847063923743
Белоцветов Н.Н._Сердце!-Ты----как-облако-над-нивой_Х5ж,13.464928024601752
Прокофьев А.А._Где-ты?-Облака-чуть-чуть-дымятся_Х5жм; Х4м,13.468057989673492
"Поплавский Б.Ю._Лошади-стучали-по-асфальту_Х5ж,м; Х5д",13.468569665480128
Прокофьев А.А._Новый-день-крылом-лебяжьим-машет_Х5жм,13.469129059060778
Блох Р.Н._Растеряла-по-дорогам-годы_Х5жм,13.478905685353851
Адамович Г. В._Что-там-было?-Ширь-закатов-блеклых_Х5жм,13.488940216902748
"Поплавский Б.Ю._Был-в-закате-колокол-стеклянный---_Х5ж,м; Х6м",13.491770520273814
